regime,label,angular_rate_rms_rad_s,vertical_amplitude_m,roll_amplitude_deg,pitch_amplitude_deg,samples,position_rmse_m,position_max_error_m,position_final_error_m,roll_rmse_deg,pitch_rmse_deg,heading_rmse_deg,heading_final_error_deg,filter,mode,updates,runtime_s,attitude_rpy_vector_rmse_deg,high_turn_heading_rmse_deg
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,5.433691110674598,13.348054866367939,13.348054866367939,0.06399293978778328,0.07350786574327053,0.36621118110406164,0.8634831165379699,ekf,imu_only,0,4.698314382000035,0.378957955233091,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,8.129792841676862,19.19280536631606,19.19280536631606,0.06376297879940628,0.07297446260353681,0.3656058462292753,0.8465647903485508,ukf,imu_only,0,9.485806292000007,0.37823091419749527,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,8.416221137794127,19.019068669132707,19.019068669132707,0.08476375000074667,0.07304185498667269,0.3385311093876626,0.8501081698007232,pf,imu_only,0,3.2169310720000794,0.35654357085400484,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,5.365172318927348,13.213556960335554,13.213556960335554,0.06399293978778164,0.07350786574327002,0.3662111811041024,0.8634831165380208,inekf,imu_only,0,1.6807287560000077,0.37895795523313003,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,0.3247877492723891,0.902902582052371,0.08899234549618204,0.5517450132640145,0.4915127674279204,1.6109861904982423,1.7833854374201248,ekf,fused,46,4.835858199000086,1.7723667414455733,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,0.3045703885276507,0.8046953800255573,0.08447372598580494,0.36412962087332723,0.3570494193110872,1.9753604649585645,1.679614837885323,ukf,fused,46,8.986527346000003,2.040128337911381,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,1.3256315071248632,3.2742836189188482,0.1358078325047422,0.8645996932180107,0.7762612416140885,6.605420932304303,12.527325100425141,pf,fused,46,3.2447462019999875,6.70683978022949,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,0.304721905422095,0.8032613123147494,0.08160435137633783,0.35887883874527204,0.3505994004902528,2.0079205371260223,1.8164980202491503,inekf,fused,46,1.7425097970001389,2.0696518653956595,nan
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,7.813556407260706,19.84229813832198,19.84229813832198,0.11976997269476666,0.10936131522384028,0.7482803649916207,0.6324686567332453,ekf,imu_only,0,4.704129584000157,0.7656554370333868,1.1694207739117097
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,9.881789818187894,23.48157354225654,23.48157354225654,0.12092530433410287,0.11055011407084318,0.7444627203066626,0.6251443159154345,ukf,imu_only,0,9.62023968099993,0.7622788196426346,1.1655622743058278
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,14.095807031229771,33.38083772168925,33.38083772168925,0.15909305144362498,0.16176170924673583,0.7567617239104577,0.6178929513715341,pf,imu_only,0,3.1897177949999787,0.790041616860781,1.1655223878218288
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,9.177623301464608,22.78858127942908,22.78858127942908,0.11976997269477958,0.10936131522385624,0.7482803649914485,0.6324686567337287,inekf,imu_only,0,1.684343454999862,0.7656554370332228,1.169420773911601
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,0.3560561156589352,0.8966342862878489,0.1591681321136333,0.4606560151786427,0.5782823933135808,1.869809526040443,2.4948628046827377,ekf,fused,46,4.812759376000031,2.010672065357336,1.811957047402517
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,0.3354920741302811,0.8550434172733004,0.15384725984354902,0.30145611225413776,0.39983972080792757,1.719096264477574,2.6772638280335985,ukf,fused,46,8.331216406000067,1.790541693592163,1.7145567328190867
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,1.0638568845386587,3.8809359090860625,0.20679768159464945,0.6374000508873734,0.7913896054565236,0.8688090516406641,0.8618909282843379,pf,fused,46,3.231317327999932,1.3369388545137764,1.2756443819812189
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,0.33418294998919024,0.8465805153203209,0.151126762364476,0.2985019586723123,0.3936797088570596,1.6858885021759376,2.5593957381722827,inekf,fused,46,1.7653344379998543,1.7567888815295971,1.7127167729950359
